Wave,Main
0.0,3850.00
1.0,3873.00
2.0,3879.00
3.0,3852.00
4.0,3979.00
5.0,3993.00
6.0,3966.00
7.0,3982.00
8.0,3973.00
9.0,3959.00
10.0,3970.00
11.0,3953.00
12.0,3952.00
13.0,4003.00
14.0,3959.00
15.0,3952.00
16.0,3979.00
17.0,3965.00
18.0,3966.00
19.0,3966.00
20.0,3961.00
21.0,3967.00
22.0,3990.00
23.0,3984.00
24.0,3957.00
25.0,3983.00
26.0,3978.00
27.0,3989.00
28.0,3980.00
29.0,3982.00
30.0,3975.00
31.0,3969.00
32.0,3975.00
33.0,3969.00
34.0,3981.00
35.0,3970.00
36.0,3995.00
37.0,3990.00
38.0,3994.00
39.0,3967.00
40.0,3981.00
41.0,3994.00
42.0,3965.00
43.0,3992.00
44.0,3979.00
45.0,3987.00
46.0,4012.00
47.0,3990.00
48.0,3988.00
49.0,4022.00
50.0,4014.00
51.0,3989.00
52.0,3968.00
53.0,3997.00
54.0,4004.00
55.0,4004.00
56.0,3995.00
57.0,4000.00
58.0,4002.00
59.0,4009.00
60.0,4013.00
61.0,3998.00
62.0,4012.00
63.0,4044.00
64.0,4050.00
65.0,4034.00
66.0,4053.00
67.0,4052.00
68.0,4053.00
69.0,4093.00
70.0,4088.00
71.0,4062.00
72.0,4064.00
73.0,4083.00
74.0,4019.00
75.0,4077.00
76.0,4081.00
77.0,4100.00
78.0,4095.00
79.0,4110.00
80.0,4103.00
81.0,4119.00
82.0,4109.00
83.0,4118.00
84.0,4121.00
85.0,4119.00
86.0,4143.00
87.0,4162.00
88.0,4176.00
89.0,4190.00
90.0,4215.00
91.0,4230.00
92.0,4293.00
93.0,4293.00
94.0,4316.00
95.0,4410.00
96.0,4508.00
97.0,5015.00
98.0,6738.00
99.0,9980.00
100.0,13377.00
101.0,14484.00
102.0,13247.00
103.0,11749.00
104.0,9953.00
105.0,7967.00
106.0,6557.00
107.0,5623.00
108.0,5058.00
109.0,4751.00
110.0,4619.00
111.0,4506.00
112.0,4518.00
113.0,4460.00
114.0,4431.00
115.0,4378.00
116.0,4365.00
117.0,4321.00
118.0,4324.00
119.0,4298.00
120.0,4316.00
121.0,4327.00
122.0,4414.00
123.0,4481.00
124.0,4588.00
125.0,4584.00
126.0,4526.00
127.0,4440.00
128.0,4406.00
129.0,4320.00
130.0,4284.00
131.0,4276.00
132.0,4256.00
133.0,4245.00
134.0,4248.00
135.0,4252.00
136.0,4240.00
137.0,4233.00
138.0,4239.00
139.0,4228.00
140.0,4236.00
141.0,4217.00
142.0,4234.00
143.0,4191.00
144.0,4188.00
145.0,4213.00
146.0,4199.00
147.0,4185.00
148.0,4191.00
149.0,4184.00
150.0,4206.00
151.0,4230.00
152.0,4263.00
153.0,4243.00
154.0,4229.00
155.0,4244.00
156.0,4240.00
157.0,4218.00
158.0,4210.00
159.0,4215.00
160.0,4233.00
161.0,4197.00
162.0,4225.00
163.0,4201.00
164.0,4210.00
165.0,4190.00
166.0,4207.00
167.0,4235.00
168.0,4258.00
169.0,4228.00
170.0,4241.00
171.0,4282.00
172.0,4258.00
173.0,4233.00
174.0,4249.00
175.0,4255.00
176.0,4280.00
177.0,4257.00
178.0,4259.00
179.0,4258.00
180.0,4274.00
181.0,4300.00
182.0,4295.00
183.0,4311.00
184.0,4320.00
185.0,4301.00
186.0,4301.00
187.0,4314.00
188.0,4319.00
189.0,4316.00
190.0,4351.00
191.0,4371.00
192.0,4360.00
193.0,4390.00
194.0,4376.00
195.0,4406.00
196.0,4391.00
197.0,4421.00
198.0,4452.00
199.0,4465.00
200.0,4489.00
201.0,4499.00
202.0,4475.00
203.0,4497.00
204.0,4526.00
205.0,4522.00
206.0,4562.00
207.0,4618.00
208.0,4550.00
209.0,4577.00
210.0,4588.00
